date,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h)
01-01-2024,176.6795833,293.7270833,33.18291667,10.38958333,1.177916667,15.86958333,10.14583333,85.16666667,5.633333333
02-01-2024,64.67,97.46041667,38.03375,11.23625,1.051666667,18.985,8.966666667,85.75,5.420833333
03-01-2024,91.24166667,216.9108333,58.34041667,15.13083333,1.385416667,37.9075,9.55,88.16666667,5.4625
04-01-2024,53.81416667,135.5066667,32.88583333,17.69041667,0.845,32.325,11.9375,82.04166667,6.379166667
05-01-2024,65.39833333,225.7408333,31.865,16.08041667,0.905833333,51.81666667,11.26666667,86.04166667,5.125
06-01-2024,74.77041667,279.7395833,40.17041667,16.95083333,1.13375,38.88333333,12.50416667,79.875,5.595833333
07-01-2024,35.81,92.71625,25.12416667,11.72166667,0.842916667,33.9025,10.7375,83.20833333,5.266666667
08-01-2024,18.42,39.42666667,28.18916667,12.33416667,0.841666667,32.12166667,10.89166667,87.125,5.754166667
09-01-2024,40.45375,96.7525,24.62833333,11.68666667,0.882916667,27.23416667,10.36666667,85.5,10.14166667
10-01-2024,68.85833333,164.0425,31.08291667,13.16833333,1.2075,35.56333333,9.270833333,84.70833333,12.35416667
11-01-2024,227.6920833,352.845,40.63083333,25.9775,1.507916667,33.16458333,9.166666667,88.79166667,9.695833333
12-01-2024,142.1175,246.8579167,60.45541667,17.36291667,1.604583333,30.19958333,9.6625,87.54166667,8.304166667
13-01-2024,360.5941667,529.04125,67.69166667,12.68458333,2.388333333,23.15791667,9.4,85.29166667,5.3375
14-01-2024,327.0795833,472.7875,61.55416667,13.56083333,2.431666667,23.71666667,9.0875,86.29166667,7.304166667
15-01-2024,185.64625,285.5004167,56.1875,12.92166667,1.73375,20.09666667,8.125,87,7.545833333
16-01-2024,241.6858333,354.4308333,56.20125,10.35083333,1.88,18.67875,8.120833333,85.08333333,6.116666667
17-01-2024,204.7045833,331.2658333,52.61416667,10.86041667,1.3875,23.08041667,9.666666667,85.375,8.004166667
18-01-2024,171.03375,281.5720833,53.15583333,11.57375,1.361666667,17.72083333,10.525,87.375,3.3125
19-01-2024,181.5670833,285.7445833,53.84208333,11.32375,1.37375,15.13083333,9.191666667,89.83333333,5.5625
20-01-2024,186.2754167,303.6683333,51.70041667,11.23833333,1.43875,20.99166667,9.258333333,88.95833333,5.4375
21-01-2024,170.3308333,272.60875,45.39541667,9.53,1.477916667,16.32333333,8.6625,89.79166667,9.741666667
22-01-2024,205.0929167,339.515,47.45291667,10.95541667,1.313333333,20.5475,8.829166667,87.20833333,5.075
23-01-2024,218.6545833,360.9966667,51.79541667,11.03791667,1.518333333,20.6925,10.66666667,87.16666667,5.341666667
24-01-2024,246.425,403.1708333,54.19083333,12.45,1.707916667,15.88083333,10.62916667,84.58333333,6.7875
25-01-2024,194.4920833,317.62375,54.40166667,11.52375,1.654166667,16.10833333,10.34166667,86.125,4.895833333
26-01-2024,289.82875,435.88875,61.66583333,11.65291667,2.270833333,24.16333333,10.90833333,84.70833333,6.158333333
27-01-2024,181.5316667,313.73625,57.50875,12.0675,1.665833333,22.41166667,12.48333333,77.83333333,10.975
28-01-2024,252.7720833,404.5366667,71.28166667,12.43,1.91875,16.12166667,13.53333333,83.20833333,8.1875
29-01-2024,202.80875,348.9108333,54.32875,11.9575,1.500416667,20.42208333,14.0375,86.25,6.9125
30-01-2024,215.2229167,347.5058333,51.73416667,11.66958333,1.799583333,13.11666667,13.49166667,88.625,6.204166667
31-01-2024,222.6245833,324.2279167,57.52833333,12.49625,1.9175,14.75166667,14.09166667,90.95833333,9.083333333
01-02-2024,180.665,293.7525,35.415,11.55541667,1.162916667,17.45,14.3125,88.16666667,11.88333333
02-02-2024,102.6279167,163.4925,40.4275,11.26125,1.3275,15.37416667,12.47083333,80.5,10.225
03-02-2024,33.50583333,92.01,32.94041667,12.01458333,0.82625,28.11916667,14.55833333,71.625,6.470833333
04-02-2024,64.55333333,162.6591667,40.70458333,20.47625,0.922916667,38.30583333,15.6375,89.33333333,8.641666667
05-02-2024,84.015,228.1291667,40.98166667,19.79958333,1.049583333,55.89208333,14.1375,81.54166667,8.8125
06-02-2024,47.01375,149.8441667,30.91416667,15.89291667,0.946666667,57.77291667,12.0625,72.70833333,10.4125
07-02-2024,42.78583333,120.59125,26.61916667,11.15166667,0.891666667,31.06875,12.3375,65.75,15.2125
08-02-2024,33.07875,67.83375,29.58291667,13.96833333,0.908333333,26.06416667,12.975,64.25,18.84166667
09-02-2024,32.70333333,78.6125,25.31833333,11.445,0.871666667,27.06333333,12.85,70.625,8.525
10-02-2024,71.18291667,194.74,36.01416667,14.7075,1.350833333,30.18333333,12.6875,83.95833333,6.333333333
11-02-2024,220.0654167,358.3270833,58.46125,20.13916667,1.796666667,35.52666667,14,75.41666667,7.520833333
12-02-2024,131.8304167,243.1145833,63.34875,17.84958333,1.681666667,29.80333333,14.38333333,76.91666667,5.883333333
13-02-2024,203.2420833,349.18125,64.78583333,15.94333333,1.835416667,24.97208333,14.82916667,73.70833333,5.7875
14-02-2024,167.8770833,286.95625,54.58083333,13.50541667,1.355833333,29.71916667,15.69583333,75.5,8.933333333
15-02-2024,127.4870833,242.8658333,52.77666667,13.09125,1.279166667,32.93666667,15.30833333,71.04166667,9.066666667
16-02-2024,120.1120833,239.2904167,58.54083333,14.14,1.4325,33.26583333,15.39166667,64.29166667,8.729166667
17-02-2024,120.2645833,246.9529167,59.84666667,16.37375,1.672083333,33.02458333,16.02916667,64.45833333,10.30833333
18-02-2024,131.21625,275.8504167,67.55208333,15.07541667,1.862083333,34.12,18.85416667,60.125,10.64583333
19-02-2024,90.02,235.5779167,42.62666667,13.2425,1.052916667,47.48125,20.30416667,63.33333333,18.94166667
20-02-2024,121.2625,218.8933333,46.98,14.00125,1.400416667,27.62541667,18.96666667,71.875,9.154166667
21-02-2024,89.40416667,194.5479167,40.10541667,11.39291667,1.065833333,27.31916667,18.36666667,53.5,11.33333333
22-02-2024,61.79291667,155.9233333,43.54875,13.6575,0.939166667,28.81791667,16.46666667,50.91666667,10.17916667
23-02-2024,61.09125,149.8991667,45.26375,13.09833333,0.97875,30.50916667,15.4,48.125,9.695833333
24-02-2024,87.61375,214.12875,57.45416667,14.4275,1.322083333,31.19791667,16.20833333,44.04166667,6.116666667
25-02-2024,81.26916667,178.7704167,47.45958333,14.94375,1.055833333,33.14875,17.31666667,42.70833333,8.520833333
26-02-2024,79.05708333,191.1383333,52.11916667,15.0525,1.189583333,30.415,17.55,45.79166667,7.158333333
27-02-2024,62.115,140.4183333,43.19458333,13.11791667,0.97875,28.5725,17.4625,51.83333333,10.77083333
28-02-2024,62.77916667,139.9695833,37.82625,12.42375,0.9525,31.9,17.25,57.25,13.42916667
29-02-2024,67.47625,157.1483333,46.3575,14.1725,1.174583333,36.32083333,18.24166667,57.54166667,9.8
01-03-2024,191.46125,306.0883333,38.74375,9.502083333,1.485,15.04083333,20.5875,60.20833333,8.3125
02-03-2024,99.29291667,216.1070833,53.53541667,13.65708333,1.524166667,16.42833333,19.19166667,80.25,19.1375
03-03-2024,48.2475,164.0533333,35.55458333,11.6775,0.94125,31.58333333,16.77083333,76.79166667,7.675
04-03-2024,75.53458333,203.61625,53.53625,20.64333333,1.193333333,40.7975,15.4125,54.29166667,11.05833333
05-03-2024,134.3629167,310.8791667,50.63666667,25.83208333,1.1625,51.32,14.84166667,54.375,11.7625
06-03-2024,58.4175,188.5954167,34.41166667,17.09,1.142916667,52.76208333,14.84166667,59.08333333,9.2875
07-03-2024,35.20916667,95.38166667,27.43541667,11.27041667,0.949166667,25.87208333,17.23333333,54.25,10.27083333
08-03-2024,22.8,59.58166667,24.45625,15.18041667,0.761666667,26.76833333,17.94166667,50.29166667,12.05833333
09-03-2024,33.89583333,83.41041667,24.8725,11.57,0.907916667,27.57416667,17.9375,50.83333333,11.04583333
10-03-2024,58.14708333,189.1245833,37.16791667,13.71125,1.32875,30.11708333,19.96666667,50.54166667,7.991666667
11-03-2024,225.13375,370.7366667,62.05416667,19.41166667,2.123333333,44.87583333,21.82916667,46.625,8.104166667
12-03-2024,122.14375,235.58375,61.12833333,16.53916667,1.53625,30.45125,21.92083333,47.29166667,12.02916667
13-03-2024,78.41375,175.215,48.355,16.4125,1.16875,31.20583333,20.89583333,56.16666667,8.504166667
14-03-2024,87.87541667,197.2470833,43.30333333,16.91166667,1.18125,32.46875,21.625,47.20833333,12.19166667
15-03-2024,47.17625,129.3225,36.3775,15.36958333,0.918333333,33.92708333,19.65833333,44.79166667,11.54583333
16-03-2024,77.64708333,177.13125,46.47,19.74625,1.074583333,36.645,19.77916667,44.45833333,8.416666667
17-03-2024,91.24958333,191.5054167,46.92333333,20.5725,1.1075,34.65791667,20.75833333,47.625,8.8375
18-03-2024,93.70083333,202.5033333,45.77666667,20.8975,1.15125,32.40666667,20.69166667,47.83333333,8.670833333
19-03-2024,108.7879167,235.1233333,50.38541667,21.55583333,1.317083333,34.145,21.375,47.54166667,8.1625
20-03-2024,108.15375,235.3208333,48.91166667,20.51375,1.311666667,32.42666667,23.24166667,44.33333333,9.233333333
21-03-2024,77.69458333,186.4104167,35.98208333,15.72625,1.09,33.24541667,22.4125,59.54166667,12.15416667
22-03-2024,82.54458333,192.8204167,41.22083333,15.65,1.355833333,37.295,24.32916667,53.33333333,8.25
23-03-2024,97.19083333,220.5904167,45.23583333,15.98458333,1.281666667,26.91541667,25.64583333,43.33333333,12.22083333
24-03-2024,86.35083333,214.9329167,37.93,17.73291667,1.085833333,21.115,23.48333333,52.04166667,12.5875
25-03-2024,95.46666667,168.2270833,28.95875,17.74875,1.0825,26.825,25.06666667,44.29166667,12.5625
26-03-2024,64.94208333,143.55375,34.5425,17.82291667,0.974166667,32.31291667,26.075,45.125,9.679166667
27-03-2024,71.70041667,176.4995833,43.11916667,17.155,1.150833333,27.24625,28.125,43,7.958333333
28-03-2024,68.54875,163.8320833,38.61458333,19.98583333,0.97125,35.08208333,28.40833333,43.91666667,9.108333333
29-03-2024,85.335,203.3666667,40.565,21.21958333,1.072916667,38.60791667,28.025,47.25,8.5625
30-03-2024,86.94166667,219.2866667,43.74125,17.13916667,1.197083333,32.30083333,27.4,40.16666667,10.75833333
31-03-2024,93.99833333,225.8154167,41.70166667,17.6875,1.187916667,32.14625,26.51666667,39.29166667,12.30833333
01-04-2024,215.3104167,347.7395833,39.12541667,10.64833333,1.319583333,11.79541667,24.19166667,38.45833333,13.16666667
02-04-2024,123.17625,200.9208333,51.46,11.68208333,1.525,15.40875,25.675,31.79166667,11.875
03-04-2024,50.24125,121.9958333,37.285,11.88,0.979583333,36.61458333,27.4125,28.125,9.316666667
04-04-2024,64.86166667,186.4308333,48.76333333,19.275,1.10375,38.30041667,28.5875,26.95833333,11.05
05-04-2024,142.72375,331.13625,56.725,26.09416667,1.580416667,50.34166667,27.95,24,14.7875
06-04-2024,77.14083333,255.8666667,38.54041667,17.11291667,1.23625,58.66125,26.8625,21.375,12.35
07-04-2024,28.15291667,64.00416667,24.23166667,11.72083333,0.907083333,24.94208333,26.75833333,20.5,11.84166667
08-04-2024,18.40583333,54.73291667,23.04833333,15.20541667,0.724583333,26.82625,27.74166667,20.375,9.354166667
09-04-2024,23.22125,53.58291667,27.3875,11.72583333,1.010416667,18.78875,28.425,18.58333333,8.829166667
10-04-2024,62.84458333,188.1595833,39.62041667,13.12833333,1.498333333,28.73375,28.58333333,23.08333333,8.433333333
11-04-2024,233.5625,405.6066667,59.38791667,16.75083333,2.243333333,35.0875,29.39166667,23.16666667,8.454166667
12-04-2024,74.42791667,167.7379167,47.20583333,15.23791667,1.045,33.78,30.28333333,20.58333333,8.866666667
13-04-2024,67.06666667,183.0766667,42.90291667,14.09083333,0.9875,44.94583333,29.59166667,34.79166667,9.320833333
14-04-2024,64.96083333,151.20125,38.59416667,14.58791667,1.025416667,29.69458333,27.05833333,47.95833333,8.983333333
15-04-2024,105.5966667,237.6679167,51.04416667,18.5275,1.41375,33.15916667,28.70833333,48.25,8.9875
16-04-2024,86.8775,224.6525,41.91416667,16.87166667,1.089166667,34.50041667,29.69166667,32.41666667,17.11666667
17-04-2024,46.06125,149.4629167,33.17541667,15.92291667,0.785,54.15708333,29.46666667,23.875,18.6125
18-04-2024,56.14958333,191.1454167,39.95625,17.63,0.922916667,42.97791667,31.125,26.75,11.54583333
19-04-2024,63.1,233.4470833,41.70958333,16.91666667,1.05625,28.22875,31,28.54166667,11.62916667
20-04-2024,65.11125,228.0920833,31.13875,18.395,0.8625,40.68875,30.07083333,28.04166667,14.6375
21-04-2024,47.47,148.69,34.81083333,17.63458333,0.9075,48.99541667,30.27083333,26.5,12.6125
22-04-2024,40.69125,132.6116667,37.65791667,14.82,0.944166667,48.87708333,30.46666667,25.95833333,11.6625
23-04-2024,71.25333333,229.75375,44.86625,17.74958333,1.047083333,47.73875,29.60833333,28.29166667,10.10416667
24-04-2024,70.93916667,185.2808333,45.39541667,17.1675,1.142916667,43.81291667,29.67916667,25.79166667,11.89166667
25-04-2024,84.94125,237.0754167,51.19791667,19.17375,1.257916667,41.32208333,30.0875,24.875,11.20416667
26-04-2024,66.17833333,194.0629167,50.84458333,15.73625,1.04625,50.73833333,32.43333333,24.625,12.9375
27-04-2024,57.72333333,220.8066667,40.90958333,15.07333333,0.897916667,42.21958333,30.9375,28.91666667,13.40833333
28-04-2024,58.49791667,182.5529167,41.43291667,16.5725,0.903333333,49.71416667,30.16666667,27.375,9.708333333
29-04-2024,80.86458333,260.1925,43.49958333,20.21583333,1.024166667,52.99791667,30.68333333,27.5,12.79583333
30-04-2024,64.13083333,209.8104167,39.81958333,18.81791667,0.957083333,47.13666667,29.0125,22.5,12.8625
01-05-2024,159.1625,275.0425,39.63458333,11.21875,1.270833333,14.33125,26.34583333,24.66666667,16.09166667
02-05-2024,74.83916667,136.3704167,35.01958333,10.95541667,1.06375,18.0525,27.85416667,25.83333333,13.02916667
03-05-2024,51.10958333,121.54625,35.605,13.34791667,1.00125,43.94666667,31.23333333,20.5,13.60416667
04-05-2024,63.76041667,186.0133333,41.66333333,19.93541667,0.870416667,36.61833333,32.63333333,19.41666667,11.85
05-05-2024,143.1658333,326.6020833,53.865,26.21125,1.630833333,52.77958333,33.45833333,20.04166667,12.50416667
06-05-2024,76.61791667,288.8570833,31.05541667,15.61166667,1.0875,37.26208333,33.34166667,23,12.3625
07-05-2024,28.5075,70.04541667,23.88333333,12.205,0.90125,25.06875,33.49166667,30.08333333,9.375
08-05-2024,20.91208333,53.955,22.67333333,13.99833333,0.788333333,27.38041667,32.4125,39.66666667,14.475
09-05-2024,40.185,85.39666667,32.62416667,13.26541667,1.068333333,30.94708333,32.0125,37.29166667,12.80833333
10-05-2024,45.475,155.1416667,33.95208333,12.9875,1.22625,25.41791667,31.62916667,47.79166667,10.09166667
11-05-2024,213.5579167,375.4470833,65.11208333,18.16791667,2.531666667,46.56791667,31.5375,41.5,8.45
12-05-2024,76.8425,177.5154167,54.7675,15.87958333,1.233333333,33.08875,31.75416667,37.79166667,10.23333333
13-05-2024,96.27625,228.4266667,44.90083333,20.1275,1.325416667,60.35041667,32.09583333,27.25,10.04583333
14-05-2024,111.0604167,253.63875,50.69708333,21.20375,1.347083333,53.68083333,33.02916667,21.20833333,10.63333333
15-05-2024,125.44,276.9766667,58.36416667,26.11083333,1.579583333,56.45791667,33.93333333,17.95833333,10.20833333
16-05-2024,105.7929167,263.2279167,52.06583333,21.695,1.473333333,62.77166667,34.74166667,19.125,9.0125
