date,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h)
01-01-2024,45.91,88.96,16.29,7.9,0.66,26.67,21.27083333,71,7.816666667
02-01-2024,45.56,95.51,31,7.77,0.62,34.32,20.87916667,73.95833333,9.079166667
03-01-2024,53.89,93.15,15.95,8.66,0.67,31.08,21.82083333,70.875,11.64583333
04-01-2024,80.67,87.19,14.76,7.85,0.76,28.07,22.0375,68.70833333,11.6875
05-01-2024,38.43,79.43,15.16,7.64,0.67,28.65,21.31666667,67.75,11.12083333
06-01-2024,32.22,70.35,15.29,8.51,0.54,26.33,21.44583333,70.33333333,11.49583333
07-01-2024,38.57,67.98,16.56,7.24,1.74,26,21.1875,69.375,12.35
08-01-2024,37.52,77.42,19.23,7.32,0.69,29.67,21.73333333,62.54166667,12.025
09-01-2024,45.43,86.74,15.74,8.25,0.65,26.86,22.25416667,66.95833333,10.67083333
10-01-2024,46.69,92.1,19.26,8.86,0.76,25.04,22.12916667,67.16666667,7.175
11-01-2024,44.36,93.81,18.67,10.25,0.81,27,23.39583333,61.95833333,7.479166667
12-01-2024,44.79,92.75,19.21,9.25,0.81,28.73,23.49166667,68.45833333,7.554166667
13-01-2024,42.79,89.8,17.2,8.51,0.8,24.42,24.02916667,64.5,5.591666667
14-01-2024,45.89,99.13,23.07,9.86,0.79,31.14,23.72916667,58.75,5.304166667
15-01-2024,42.75,83.98,24.83,9.26,0.72,30.5,23.59166667,60.91666667,5.058333333
16-01-2024,42,83.35,31.06,7.13,0.62,30.13,23.84166667,64.25,7.4625
17-01-2024,38.9,79.02,19.69,7.09,0.55,28.33,23.72916667,61.58333333,9.808333333
18-01-2024,33.65,76.61,13.16,7.06,0.47,25.61,23.04166667,62.25,7.566666667
19-01-2024,34.56,73.1,29.59,8.13,0.6,34.03,24.00416667,57.45833333,7.666666667
20-01-2024,29.32,68.17,19.23,7.25,0.54,25.3,23.8125,61.20833333,10.23333333
21-01-2024,26.41,63.35,31.66,8.39,0.58,27.65,24.1125,61.58333333,6.6
22-01-2024,31.25,70.88,18.52,7.8,0.56,25.55,24.825,62.33333333,8.1875
23-01-2024,29.38,72.13,13.83,8.56,0.59,22.7,24.875,61.95833333,9.6875
24-01-2024,33.57,75.94,17.32,9.66,0.61,25.41,24.29583333,65.16666667,8.054166667
25-01-2024,47.3,94.38,21.62,16.79,0.68,29.48,22.61666667,70,6.5875
26-01-2024,38,81.13,17.04,12.57,0.6,27.98,23.37916667,65.66666667,7.379166667
27-01-2024,37.66,83.04,16.02,8.41,0.64,25.04,22.575,69.79166667,8.475
28-01-2024,43.16,92.39,18.37,9.58,0.7,29.47,22.49583333,58.5,8.6
29-01-2024,44.53,92.23,17.86,9.28,0.63,30.03,22.4625,65.125,7.891666667
30-01-2024,37.46,84.27,17.21,9.58,0.61,28.82,22.8125,59.29166667,8.095833333
31-01-2024,28.57,75.34,18.93,9.91,0.54,24.37,23.54583333,57.70833333,8.108333333
01-02-2024,30.09,77.62,17.41,12.34,0.6,27.16,24.01666667,54.41666667,9.554166667
02-02-2024,32.58,79.82,23.56,10.03,0.61,27.12,24.72083333,62.41666667,6.608333333
03-02-2024,31.97,73.96,16.65,8.83,0.53,23.2,24.61666667,67.16666667,8.066666667
04-02-2024,33.11,80.5,19.99,10.96,0.59,29.25,25.3375,60.95833333,7.654166667
05-02-2024,31.14,76.36,17.92,9.73,0.56,25.13,26.22916667,56.70833333,6.004166667
06-02-2024,33.24,79.29,16.02,9.08,0.6,24.61,26.6375,56.54166667,6.545833333
07-02-2024,32.8,79.47,22.68,10.62,0.63,26.05,27.31666667,50.125,5.391666667
08-02-2024,41.38,92.39,17.62,10.71,0.64,30.19,26.54583333,52.08333333,6.791666667
09-02-2024,33.92,87.01,15.89,12.76,0.49,28.56,25.92916667,55.08333333,9.333333333
10-02-2024,31.86,79.07,16.12,8.47,0.5,24.58,25.81666667,62.41666667,11.93333333
11-02-2024,31.13,74.31,22.41,7.58,0.48,31.2,25.92916667,59.08333333,12.32916667
12-02-2024,31.22,74.93,16.57,6.65,0.52,29.8,24.95,57.45833333,12.35833333
13-02-2024,21.68,70.95,13.85,7.91,0.47,27.21,25,55.16666667,10.8
14-02-2024,24.57,72.21,15.44,8.7,0.51,26.87,25.01666667,49.83333333,9.754166667
15-02-2024,24.24,72.29,15.1,7.9,0.48,30.13,24.7875,48.5,10.475
16-02-2024,23.77,70.94,17.54,8.13,0.47,28.02,23.94583333,42.29166667,10.85416667
17-02-2024,26.35,72.6,19.54,9.56,0.55,30.31,25.09166667,33.70833333,8.45
18-02-2024,25.47,69.78,30.88,9.4,0.58,37.12,25.9625,33.75,8.333333333
19-02-2024,28.17,75.12,18.92,11.12,0.52,28.19,26.7375,36.125,9.154166667
20-02-2024,32.84,77.99,15.18,11.15,0.55,26.19,27.01666667,41,8.3
21-02-2024,33.45,80.45,15.99,11.52,0.61,24.4,26.79583333,38.625,8.4625
22-02-2024,35.51,82.23,14.96,10.7,0.63,26.62,25.85833333,40.91666667,8.483333333
23-02-2024,35.22,85.41,17.15,13.21,0.61,28.33,26.03333333,45.375,7.654166667
24-02-2024,36.56,83.37,15.45,9.03,0.58,23.88,27.22083333,63.20833333,10.87916667
25-02-2024,28.85,69.85,16.67,7.18,0.48,21.96,26.30833333,64.75,11.4
26-02-2024,27.46,70.75,13.97,10.32,0.48,23.62,26.10416667,62.16666667,14.6375
27-02-2024,25.22,69.24,14.91,7.93,0.51,21.82,26.38333333,52.83333333,10.15833333
28-02-2024,26.12,72.35,17.07,7.67,0.56,25.03,25.50416667,47.375,8.595833333
29-02-2024,30.14,79.32,16.22,9.61,0.6,26.78,26.54166667,44.16666667,8.65
01-03-2024,33.82,84,22.82,8.75,0.63,29.26,27.55,44,10.39166667
02-03-2024,27.28,76.77,15.96,8.91,0.49,28.11,28.21666667,39.54166667,10.4
03-03-2024,29.04,75.93,18.33,11.41,0.58,28.29,28.0875,42.125,8.525
