date,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h)
01-01-2024,59.68291667,119.1466667,36.44916667,11.87958333,1.168333333,37.35583333,25.225,66.20833333,9.133333333
02-01-2024,61.93541667,120.6083333,34.33916667,11.88,1.053333333,33.795,24.69583333,65.16666667,10.63333333
03-01-2024,56.64666667,115.0175,36.16666667,11.7375,1.025,29.67708333,24.20833333,68.91666667,11.225
04-01-2024,57.795,117.2520833,32.58208333,11.96833333,1,24.68083333,23.275,77.29166667,11.75416667
05-01-2024,62.59875,124.6945833,34.32083333,11.66833333,0.95,26.49916667,23.40833333,70.125,10.425
06-01-2024,56.92875,119.7058333,35.03291667,12.52458333,0.919166667,26.2225,25.3875,60.16666667,12.34166667
07-01-2024,53.96166667,114.2104167,34.45208333,12.23208333,0.936666667,24.49625,25.50833333,64.41666667,9.625
08-01-2024,43.48333333,97.90041667,34.90791667,13.41708333,0.771666667,27.43833333,27.12083333,55.54166667,11.24583333
09-01-2024,53.13208333,111.5079167,35.95666667,14.5875,0.88375,26.6,26.05833333,73.20833333,7.05
10-01-2024,38.09666667,81.41708333,36.05125,12.00958333,0.6825,24.59291667,26.04583333,69.54166667,7.720833333
11-01-2024,58.27125,116.0666667,37.1875,13.50666667,0.820833333,31.39833333,27.32916667,63.125,11.15833333
12-01-2024,61.29583333,124.8983333,37.0925,14.00375,0.905416667,30.97416667,27.33333333,62.70833333,10.65833333
13-01-2024,60.70541667,128.7629167,39.60666667,13.535,1.006666667,27.77958333,26.6,60.20833333,10.2375
14-01-2024,39.71625,92.35291667,36.6825,14.36416667,0.874583333,24.0825,26.47083333,44.41666667,12.65416667
15-01-2024,26.48375,64.2275,30.43083333,13.25625,0.5025,28.45541667,23.89583333,46.41666667,11.95416667
16-01-2024,33.70625,80.76958333,32.17958333,13.68208333,0.583333333,34.63666667,22.24583333,59.70833333,10.26666667
17-01-2024,44.95458333,98.64666667,32.56916667,12.49375,0.74,33.62291667,22.2375,66.08333333,9.2125
18-01-2024,46.20458333,101.6483333,34.52708333,14.67625,0.62625,31.98875,22.31666667,66.08333333,9.333333333
19-01-2024,56.47416667,123.09,39.33458333,17.25875,0.749166667,35.70583333,22.5,69.66666667,8.3375
20-01-2024,65.14041667,143.5558333,42.42875,15.68083333,0.845,33.71583333,23.2625,59.91666667,12.85416667
21-01-2024,45.29625,110.7375,35.48375,10.875,0.740416667,32.78416667,23.69166667,52.04166667,9.670833333
22-01-2024,60.38375,124.3491667,36.81083333,12.38041667,0.89875,35.79083333,23.61666667,50.41666667,11.06666667
23-01-2024,44.33291667,102.3345833,33.85041667,12.47291667,0.6,33.83791667,23.86666667,37.625,17.19166667
24-01-2024,43.51041667,106.9745833,34.24666667,13.10833333,0.650833333,31.52375,23.6375,39.91666667,12.95
25-01-2024,48.57,119.7166667,39.01458333,13.04166667,0.799166667,31.31541667,23.70416667,46.375,9.779166667
26-01-2024,58.07083333,133.9279167,38.59541667,14.23625,1.02375,35.7175,23.8875,48.70833333,9.841666667
27-01-2024,54.83625,126.5195833,40.03916667,13.81333333,0.975,29.60208333,25,47.625,10.55416667
28-01-2024,49.52541667,119.685,34.9775,15.14041667,0.952916667,26.95416667,25.28333333,44,10.74583333
29-01-2024,53.64166667,123.8579167,38.10166667,17.08833333,1.000833333,28.16708333,25.40833333,43.29166667,13.37083333
30-01-2024,53.73458333,122.71875,37.29708333,16.18583333,0.883333333,28.00666667,24.47916667,53.58333333,12.1875
31-01-2024,51.64583333,111.97125,35.15541667,17.02791667,0.85375,29.85208333,23.72083333,64.25,11.27916667
01-02-2024,34.0425,79.98541667,27.09916667,12.355,0.62,15.16041667,23.02916667,73.91666667,10.90416667
02-02-2024,28.84083333,79.745,31.19875,12.96166667,0.600833333,21.83458333,24.30833333,61.25,12.72916667
03-02-2024,50.49916667,124.1095833,38.86,15.50416667,0.769583333,33.06666667,26.55833333,48.95833333,11.22083333
04-02-2024,65.34958333,155.3775,43.75583333,14.09958333,1.074583333,33.4025,26.27083333,56.45833333,8.025
05-02-2024,60.94416667,136.2204167,50.50333333,15.28,1.01625,24.08125,26.36666667,52.16666667,12.4625
06-02-2024,53.0225,125.72375,44.05708333,16.21291667,0.973333333,25.17291667,26.1625,59.5,13.92083333
07-02-2024,49.8375,117.9758333,42.12,13.22208333,0.710416667,31.59333333,26.40833333,53.625,15.82916667
08-02-2024,48.48208333,122.67375,44.32083333,12.325,0.757916667,29.56166667,25.37916667,55.91666667,13.78333333
